country,year,co2,co2_per_capita,population,gdp,coal_co2,oil_co2,gas_co2,iso_code,methane,total_ghg,primary_energy_consumption,temperature_change_from_co2
Kuwait,2024,129.519,26.248,4934508.0,,0.623,72.458,53.833,KWT,39.526,170.275,525.025,0.002
Kyrgyzstan,2024,11.77,1.638,7186014.0,,5.667,4.033,0.805,KGZ,7.968,22.581,54.984,0.001
Laos,2024,24.4,3.14,7769823.0,,16.678,2.837,,LAO,11.411,61.388,84.592,0.001
Latvia,2024,6.462,3.452,1871874.0,,0.048,4.176,1.631,LVA,2.285,13.86,38.79,0.001
Lebanon,2024,15.65,2.696,5805962.0,,0.102,14.623,,LBN,3.983,20.646,71.357,0.0
Lesotho,2024,2.572,1.1,2337428.0,,1.641,0.931,,LSO,1.315,6.172,3.931,0.0
Liberia,2024,0.859,0.153,5612813.0,,,0.676,,LBR,2.586,24.54,3.198,0.001
Libya,2024,65.26,8.842,7381029.0,,,36.869,15.432,LBY,28.198,94.987,246.253,0.001
Liechtenstein,2024,0.132,3.299,39895.0,,0.0,0.091,0.041,LIE,0.025,0.147,,0.0
Lithuania,2024,12.542,4.387,2859112.0,,0.379,8.364,3.042,LTU,2.618,21.776,73.366,0.001
Luxembourg,2024,7.04,10.46,673042.0,,0.151,5.406,1.229,LUX,0.535,7.941,39.742,0.0
Macao,2024,1.056,1.467,720270.0,,,0.858,0.199,MAC,0.052,1.169,13.978,0.0
Madagascar,2024,4.528,0.142,31964960.0,,1.344,3.126,,MDG,24.793,61.492,16.416,0.003
Malawi,2024,1.881,0.087,21655288.0,,0.177,1.464,,MWI,8.373,25.004,8.645,0.0
Malaysia,2024,290.224,8.162,35557670.0,,97.57,79.098,95.277,MYS,28.313,388.685,1381.98,0.009
Maldives,2024,2.306,4.369,527801.0,,,2.306,,MDV,0.171,2.537,7.755,0.0
Mali,2024,6.979,0.285,24478597.0,,,6.281,,MLI,29.049,65.657,29.032,0.0
Malta,2024,1.729,3.204,539612.0,,0.0,1.002,0.727,MLT,0.165,1.91,36.327,0.0
Marshall Islands,2024,0.154,4.112,37572.0,,,0.154,,MHL,,,,0.0
Mauritania,2024,5.239,1.013,5169403.0,,,5.233,,MRT,9.091,18.201,19.678,0.0
Mauritius,2024,4.674,3.677,1271171.0,,1.608,3.066,,MUS,0.57,5.437,23.958,0.0
Mexico,2024,460.988,3.523,130861001.0,,40.178,219.371,171.627,MEX,151.802,635.719,2310.191,0.015
Micronesia (country),2024,0.151,1.331,113171.0,,,0.151,,FSM,0.059,0.207,0.702,0.0
Moldova,2024,5.327,1.755,3034967.0,,0.246,3.139,1.363,MDA,2.072,6.697,35.962,0.001
Monaco,2024,,,38657.0,,,,,MCO,,,,
Mongolia,2024,44.694,12.86,3475541.0,,38.731,5.36,,MNG,42.423,98.21,76.834,0.002
Montenegro,2024,2.376,3.722,638481.0,,1.286,1.09,,MNE,0.589,1.221,11.825,0.0
Montserrat,2024,0.027,6.022,4414.0,,,0.027,,MSR,,,0.188,0.0
Morocco,2024,69.062,1.814,38081176.0,,22.983,39.902,1.798,MAR,30.335,101.847,276.349,0.001
